"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","ionotropic glutamate receptor activity","GO:0004970","0.01845027451130734","1.733997167832341","21","31","2","11759","FBGN0026255,FBGN0038840"
"GO:MF","glutamate receptor activity","GO:0008066","0.02499486694243819","1.6021491708265212","25","31","2","11759","FBGN0026255,FBGN0038840"
"GO:MF","postsynaptic neurotransmitter receptor activity","GO:0098960","0.02779976851034034","1.5559588204524413","27","31","2","11759","FBGN0026255,FBGN0038840"
"GO:MF","potassium ion transmembrane transporter activity","GO:0015079","0.02779976851034034","1.5559588204524413","56","56","3","11759","FBGN0026255,FBGN0038840,FBGN0030745"
"GO:MF","calmodulin-dependent protein kinase activity","GO:0004683","0.02779976851034034","1.5559588204524413","10","3","1","11759","FBGN0265045"
"GO:MF","linear polyubiquitin binding","GO:1990450","0.03387161291744877","1.4701641223849076","1","38","1","11759","FBGN0031857"
"GO:MF","inorganic phosphate transmembrane transporter activity","GO:0005315","0.03434004469018962","1.4641991439831943","5","8","1","11759","FBGN0034497"
"GO:MF","metal ion transmembrane transporter activity","GO:0046873","0.035285374816418726","1.4524052649426769","202","60","5","11759","FBGN0026255,FBGN0038840,FBGN0261999,FBGN0030745,FBGN0263006"
"GO:MF","transmitter-gated ion channel activity","GO:0022824","0.03544151710799508","1.450487695996931","36","31","2","11759","FBGN0026255,FBGN0038840"
"GO:MF","protein kinase activity","GO:0004672","0.03544151710799508","1.450487695996931","243","16","3","11759","FBGN0265045,FBGN0005666,FBGN0053519"
"GO:MF","transmitter-gated channel activity","GO:0022835","0.03544151710799508","1.450487695996931","36","31","2","11759","FBGN0026255,FBGN0038840"
"GO:MF","motor activity","GO:0003774","0.039427971867679976","1.4041955619916675","72","55","3","11759","FBGN0264695,FBGN0003149,FBGN0026059"
"GO:MF","K48-linked polyubiquitin modification-dependent protein binding","GO:0036435","0.04281475709935115","1.3684065155149232","2","38","1","11759","FBGN0031857"
"GO:MF","insulin-activated receptor activity","GO:0005009","0.04281475709935115","1.3684065155149232","1","74","1","11759","FBGN0283499"
"GO:MF","extracellular ligand-gated ion channel activity","GO:0005230","0.04281475709935115","1.3684065155149232","45","31","2","11759","FBGN0026255,FBGN0038840"
"GO:MF","sodium channel activity","GO:0005272","0.04281475709935115","1.3684065155149232","46","31","2","11759","FBGN0026255,FBGN0038840"
"GO:MF","glycogenin glucosyltransferase activity","GO:0008466","0.04281475709935115","1.3684065155149232","1","68","1","11759","FBGN0265191"
"GO:MF","UDP-alpha-D-glucose:glucosyl-glycogenin alpha-D-glucosyltransferase activity","GO:0102751","0.04281475709935115","1.3684065155149232","1","68","1","11759","FBGN0265191"
